NO_PRESTADOR;FANTASIA;NO_LIVRO;CEP;NUMERO;LOGRADOURO;BAIRRO;MUNICIPIO;UF;REGIAO_SAUDE;ESPECIALIDADES;DDD_TELEFONE1;TELEFONE1;DDD_TELEFONE2;TELEFONE2;DDD_CELULAR;CELULAR;DT_CREDENCIAMENTO
ESPACO TERAPEUTICO NEUROSABER LTDA;ESPACO TERAPEUTICO NEUROSABER;Nome;68742-000;2500;AVENIDA BARÃO DO RIO BRANCO;NOVA OLINDA;CASTANHAL;PA;Rio Guamá;FISIOTERAPIA / PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA;;;;;91;993368120;6/27/2025 12:00:00 AM
FELIPE TAVARES DE CAMPOS HEFEZ;;Nome;24360-022;187;AV. QUINTINO BOCAIUVA;SAO FRANCISCO;NITEROI;RJ;Metropolitana II;FISIOTERAPIA;;;;;21;981196798;6/27/2025 12:00:00 AM
MJ ESPECIALIDADES LTDA;MJ ESPECIALIDADES;Nome;38060-600;850;SANTOS DUMONT;SAO SEBASTIAO;UBERABA;MG;Uberaba;NEUROCIRURGIA  / ORTOPEDIA E TRAUMATOLOGIA;34;33110100;;;34;996391000;6/27/2025 12:00:00 AM
THERAPYLAR SERVICOS DE FISIOTERAPIA E FONOAUDIOLOGIA LTDA;THERAPYLAR HOME;Nome;52060-290;2077;RUA MOACYR DA CUNHA MELO; PONTA NEGRA;NATAL;RN;Grande Natal;FONOAUDIOLOGIA  / FISIOTERAPIA;;;;;81;986975841;6/26/2025 12:00:00 AM
LUCYANO BRITTO ALVES DE OLIVEIRA SANTOS;LUCYANO BRITTO ALVES DE OLIVEIRA SANTOS;Nome;45820-440;301;AV PAULINO MENDES LIMA;CENTRO;EUNAPOLIS;BA;Eunápolis;DERMATOLOGIA;73;32614444;73;32615000;;;6/26/2025 12:00:00 AM
AGUILAR ELETRO NEUROLOGIA LTDA;CLINICA NEUROSOLUTION;Nome;12245-820;145;EUCLIDES MIRAGAIA;CENTRO;SAO JOSE DOS CAMPOS;SP;Taubaté;NEUROCIRURGIA  / NEUROLOGIA;12;39229822;;;12;996238282;6/26/2025 12:00:00 AM
BRUNA SILVA CORDEIRO;BRUNA SILVA CORDEIRO;Nome;55014-615;120;AVENIDA JOÃO SOARES DE LIRA;NOVA CARUARU;CARUARU;PE;Caruaru;FISIOTERAPIA;;;;;81;994313870;6/26/2025 12:00:00 AM
CLINICA MUNDO KIDS LTDA;CLINICA MUNDO KIDS LTDA;Nome;58701-220;947;RUA INÁCIO DO LEÃO;SANTO ANTÔNIO;PATOS;PB;VI Núcleo Regional de Saúde;TERAPIA OCUPACIONAL / PSICOLOGIA  / FISIOTERAPIA / PEDIATRIA  / FONOAUDIOLOGIA;;;;;83;998561310;6/26/2025 12:00:00 AM
LETICIA AEKO BARONE OZAWA LTDA;CLINICA LETICIA BARONE;Nome;17515-010;33;RIO CLARO;CASCATA;MARILIA;SP;Marília;NUTRICAO;;;;;14;996882487;6/25/2025 12:00:00 AM
TAISE DOBNER IMPERATORI;TAISE DOBNER IMPERATORI;Nome;98801-700;526;BENTO GONÇALVES;CENTRO;SANTO ANGELO;RS;CRS 12 Santo Ângelo;NUTRICAO;55;33131144;;;;;6/25/2025 12:00:00 AM
NUCLEO MULTIDISCIPLINAR ECCELLENZA LTDA;NUCLEO MULTIDISCIPLINAR ECCELENZA;Nome;88338-260;290;R ITALIA;NACOES;BALNEARIO CAMBORIU;SC;Balneário Camboriú;TERAPIA OCUPACIONAL / PSICOLOGIA  / FONOAUDIOLOGIA  / NUTRICAO;47;32281480;;;;;6/25/2025 12:00:00 AM
HOSPITAL ANA NERY SANTA CRUZ DO SUL;HOSPITAL ANA NERY SANTA CRUZ DO SUL;Nome;95670-126;396;RUA MADRE VERÔNICA;CENTRO;GRAMADO;RS;CRS 05 Caxias do Sul;INFECTOLOGIA  / CARDIOLOGIA  / ONCOLOGIA CLÍNICA / ASSISTENCIA A PESSOAS PORTADORAS DE DEFICIENCIAS  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / UROLOGIA  / ENFERMAGEM  / CIRURGIA DA MÃO / CIRURGIA CARDIOVASCULAR  / REUMATOLOGIA  / GERIATRIA   / CIRURGIA PEDIATRICA  / NEUROCIRURGIA  / PNEUMOLOGIA  / PSIQUIATRIA  / DERMATOLOGIA   / CIRURGIA ONCOLÓGICA / FONOAUDIOLOGIA  / RADIOTERAPIA  / GASTROENTEROLOGIA  / CIRURGIA DO APARELHO DIGESTIVO / PEDIATRIA  / NEFROLOGIA  / OFTALMOLOGIA  / HEMATOLOGIA E HEMOTERAPIA / NEUROLOGIA  / OTORRINOLARINGOLOGIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / CIRURGIA PLÁSTICA / CIRURGIA TORACICA  / ENDOCRINOLOGIA E METABOLOGIA / MASTOLOGIA  / COLOPROCTOLOGIA / ORTOPEDIA E TRAUMATOLOGIA  / ALERGIA E IMUNOLOGIA  / ANESTESIOLOGIA  / PATOLOGIA / PSICOLOGIA  / CIRURGIA VASCULAR / MEDICINA NUCLEAR  / CLÍNICA MÉDICA / FISIOTERAPIA / CIRURGIA GERAL  / GINECOLOGIA E OBSTETRICIA  / ANGIOLOGIA / APARELHOS E OBJETOS FINALIDADE MÉDICA / CIRURGIA DE CABEÇA E PESCOÇO;54;32958600;;;;;6/24/2025 12:00:00 AM
ISALAB CITOLOGIA E ANALISES CLINICAS LTDA;ISALAB CITOLOGIA E ANALISES CLINICAS;Nome;14400-350;1284;RUA DR. ALCINDO RIBEIRO CONRADO;CENTRO;FRANCA;SP;Franca;PATOLOGIA CLINICA / MEDICINA LABORATORIAL / PATOLOGIA;16;30306351;;;16;999472648;6/24/2025 12:00:00 AM
HATANAKA SERVICOS MEDICOS LTDA;HATANAKA SERVICOS MEDICOS RIBEIRAO PRETO;Nome;14024-250;1901;PROFESSOR JOAO FIUSA;JARDIM BOTANICO;RIBEIRAO PRETO;SP;Ribeirão Preto;GINECOLOGIA E OBSTETRICIA  / PEDIATRIA;;;;;16;996204849;6/24/2025 12:00:00 AM
AC CLINICA E NEFROLOGIA LTDA;AC CLINICA E NEFROLOGIA;Nome;38701-118;241;PADRE ALMIR NEVES DE MEDEIROS;SOBRADINHO;PATOS DE MINAS;MG;Patos de Minas;NEFROLOGIA;;;;;34;988973086;6/24/2025 12:00:00 AM
SHINZATO E MUKARZEL LTDA;CLAUDIO GUENSEI SHINZATO;Nome;79020-260;464;RUA GENERAL ODORICO QUADROS;CENTRO;CAMPO GRANDE;MS;NCT de Campo Grande;OFTALMOLOGIA;67;33215139;;;;;6/23/2025 12:00:00 AM
TANIA REGINA DA SILVA NURCHIS;TANIA REGINA DA SILVA NURCHIS;Nome;37900-166;172;RUA SAO LUIZ;CENTRO;PASSOS;MG;Passos;PSICOLOGIA;;;;;35;999059532;6/23/2025 12:00:00 AM
ANNA JULIA RAMOS FONTANARI;ANNA JULIA R FONTANARI MEDICA PIRACICABA;Nome;13416-461;109;PROFESSOR LUIZ CURIACOS;CIDADE JARDIM;PIRACICABA;SP;Piracicaba;ENDOCRINOLOGIA E METABOLOGIA;;;;;19;999122040;6/23/2025 12:00:00 AM
MAAP SERVICOS MEDICOS LTDA;MAAP SERVICOS MEDICOS;Nome;66093-050;3540;TRAV. BARÃO DO TRIUNFO;MARCO;BELEM;PA;Metropolitana;HEMATOLOGIA E HEMOTERAPIA;;;;;91;984932242;6/23/2025 12:00:00 AM
ADRIANA DE NAZARE MIZIARA;ADRIANA DE NAZARE MIZIARA;Nome;38025-110;788;RUA DA CONSTITUIÇÃO;ABADIA;UBERABA;MG;Uberaba;CARDIOLOGIA;34;33326802;34;33323506;;;6/20/2025 12:00:00 AM
PIONEIRA ATENDIMENTO DOMICILIAR EM SAUDE;PIONEIRA ATENDIMENTO DOMICILIAR EM SAUDE;Nome;22250-040;518;PRAIA BOTAFOGO;BOTAFOGO;RIO DE JANEIRO;RJ;Metropolitana I;REMOCOES  / FISIOTERAPIA / ENFERMAGEM  / PSICOLOGIA  / MEDICINA FISICA E REABILITACAO  / NUTRICAO / CLÍNICA MÉDICA / TERAPIA OCUPACIONAL / EVENTOS CLINICOS - ASSISTENCIA HOSPITALAR  / FONOAUDIOLOGIA;21;25427933;;;;;6/20/2025 12:00:00 AM
CLINICA DE FISIOTERAPIA HL REABILITACAO LTDA;HL FISIOTERAPIA PIRACICABA;Nome;13419-280;1963;RUA VOLUNTÁRIOS DE PIRACICABA;CIDADE ALTA;PIRACICABA;SP;Piracicaba;FISIOTERAPIA;19;34334628;;;;;6/20/2025 12:00:00 AM
PSICOLOGA ANA CRISTINA FIRMINO LTDA;CLINICA ENTRELACOS DESENVOLVIMENTO HUMANO;Nome;71908-540;1;RUA 9 EDIF ATLANTIS TRADE CENTE LOTE;NORTE (ÁGUAS CLARAS);BRASILIA;DF;Distrito Federal;PSICOLOGIA;;;;;61;996987183;6/20/2025 12:00:00 AM
INSTITUTO NADJA QUADROS ASSIST INTERD EM SAUDE E CAPACIT;INSTITUTO NADJA QUADROS;Nome;71927-360;3;RUA ARARIBA;AGUAS CLARAS;BRASILIA;DF;Distrito Federal;PSICOLOGIA  / FONOAUDIOLOGIA  / FISIOTERAPIA / TERAPIA OCUPACIONAL;;;;;61;998733264;6/19/2025 12:00:00 AM
HOSPITAL ESPERANCA SA;HOSPITAL ESPERANCA SA;Nome;42702-400;2028;AVENIDA SANTOS DUMONT;CENTRO;LAURO DE FREITAS;BA;Salvador;GERIATRIA   / CIRURGIA VASCULAR / PNEUMOLOGIA  / NEUROCIRURGIA  / NEFROLOGIA  / ANESTESIOLOGIA  / UROLOGIA  / INFECTOLOGIA  / FISIOTERAPIA / ANGIOLOGIA / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / PEDIATRIA  / PATOLOGIA CLINICA / MEDICINA LABORATORIAL / CARDIOLOGIA  / FONOAUDIOLOGIA  / CIRURGIA GERAL  / OFTALMOLOGIA  / DERMATOLOGIA   / GINECOLOGIA E OBSTETRICIA  / NEUROLOGIA  / PSIQUIATRIA  / OTORRINOLARINGOLOGIA  / HEMATOLOGIA E HEMOTERAPIA / CLÍNICA MÉDICA / ALERGIA E IMUNOLOGIA  / ORTOPEDIA E TRAUMATOLOGIA  / MEDICINA FISICA E REABILITACAO  / ENDOSCOPIA / CIRURGIA TORACICA;71;30333230;;;;;6/18/2025 12:00:00 AM
PHYSIUS CENTRO AVANCADO DE FISIOTERAPIA LTDA;PHYSIUS GLOBAL;Nome;89700-138;346;RUA GUILHERME HELMUTH ARENDT;CENTRO;CONCORDIA;SC;Concórdia;FISIOTERAPIA / MEDICINA FISICA E REABILITACAO;49;30110250;;;;;6/18/2025 12:00:00 AM
SILVESTRE SERVICOS DE SAUDE LTDA;CLINICA SILVESTRE;Nome;89010-203;777;RUA SETE DE SETEMBRO;CENTRO;BLUMENAU;SC;Blumenau;CIRURGIA ONCOLÓGICA / CIRURGIA GERAL;;;;;47;992108431;6/18/2025 12:00:00 AM
INSTITUTO DE FONOAUDIOLOGIA INAYARA CURTI;INSTITUTO DE FONOAUDIOLOGIA  INAYARA CURTI;Nome;14020-230;523;RUA JOÃO GODOY;JARDIM AMÉRICA;RIBEIRAO PRETO;SP;Ribeirão Preto;PSICOLOGIA  / FONOAUDIOLOGIA;16;39112255;;;16;997268883;6/18/2025 12:00:00 AM
CAASA ESPACO DE NEURODESENVOLVIMENTO E DE COMUNICACAO LTDA;CAASA ESPACO DE NEURODESENVOLVIMENTO E DE COMUNICA;Nome;81530-310;138;RUA HEITOR DE ANDRADE;JARDIM DAS AMÉRICAS;CURITIBA;PR;Metropolitana;FONOAUDIOLOGIA  / PSICOLOGIA  / TERAPIA OCUPACIONAL;;;;;41;991059680;6/18/2025 12:00:00 AM
NELL VITA FISIOTERAPIA LTDA;NELL VITA FISIOTERAPIA LTDA PIRACICABA;Nome;13403-030;1446;DONA JANE CONCEICAO;PAULISTA;PIRACICABA;SP;Piracicaba;FISIOTERAPIA;19;33776958;;;;;6/18/2025 12:00:00 AM
CLINICA OFTALMOS LTDA;CLINICA RAMOS;Nome;95020-460;491;RUA ALFREDO CHAVES;CENTRO;CAXIAS DO SUL;RS;CRS 05 Caxias do Sul;OFTALMOLOGIA;54;32144343;;;;;6/17/2025 12:00:00 AM
AMPLIAR NUCLEO DE PSICOLOGIA APLICADA LTDA;AMPLIAR NUCLEO DE PSICOLOGIA APLICADA LTDA;Nome;39800-078;40;RUA JORGE MATTAR;CENTRO;TEOFILO OTONI;MG;Teófilo Otoni;PSICOLOGIA  / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA;33;35232750;;;33;988314452;6/17/2025 12:00:00 AM
JULIA LARA MORISCO DOS SANTOS;JULIA LARA MORISCO DOS SANTOS;Nome;79740-000;716;JOSE PEREIRA DA SILVA;CENTRO;IVINHEMA;MS;NCT de Nova Andradina;NUTRICAO;;;;;67;999151135;6/17/2025 12:00:00 AM
DEBORA CAROLINE ZIELONKA DA SILVA;DEBORA CAROLINE ZIELONKA DA SILVA;Nome;83005-370;580;RUA DOUTOR MARCELINO NOGUEIRA;CENTRO;SAO JOSE DOS PINHAIS;PR;Metropolitana;PEDIATRIA;;;;;41;999500237;6/17/2025 12:00:00 AM
AFETO ESPACO TERAPEUTICO LTDA;AFETO ESPACO TERAPEUTICO;Nome;57055-160;71;RUA BARÃO JOSÉ MIGUEL;FAROL;MACEIO;AL;Região 01;FONOAUDIOLOGIA  / TERAPIA OCUPACIONAL / PSICOLOGIA  / FISIOTERAPIA;;;;;82;991905731;6/17/2025 12:00:00 AM
SAUDE MAIS LTDA;SAUDE MAIS;Nome;83408-030;50;RUA KELVIN;GUARANI;COLOMBO;PR;Metropolitana;GENETICA MÉDICA / ORTOPEDIA E TRAUMATOLOGIA  / CLÍNICA MÉDICA / UROLOGIA  / PEDIATRIA  / ENDOCRINOLOGIA E METABOLOGIA / DERMATOLOGIA   / NUTRICAO / GINECOLOGIA E OBSTETRICIA;41;35620455;;;41;984610104;6/17/2025 12:00:00 AM
ALJ SERVICOS EM SAUDE LTDA;ACESSO SAUDE;Nome;83203-742;955;GABRIEL DE LARA;LEBLON;PARANAGUA;PR;Paranaguá;NUTRICAO / CARDIOLOGIA  / CLÍNICA MÉDICA;41;30381310;;;;;6/17/2025 12:00:00 AM
MACHADO & XAVIER S/S LTDA;POP CLINICA;Nome;77803-140;2634;AVENIDA PRIMEIRO DE JANEIRO;SETOR CENTRAL;ARAGUAINA;TO;Região de Saúde Médio Norte;PEDIATRIA  / CLÍNICA MÉDICA / GINECOLOGIA E OBSTETRICIA;83;34214898;;;;;6/17/2025 12:00:00 AM
BE ABA INTERVENCAO COMPORTAMENTAL LTDA;BE ABA INTERVENCAO COMPORTAMENTAL;Nome;67140-000;901;TRAVESSA WE 72;CIDADE NOVA;ANANINDEUA;PA;Metropolitana;NUTRICAO / FISIOTERAPIA / FONOAUDIOLOGIA  / PSICOLOGIA  / TERAPIA OCUPACIONAL;;;;;91;981202255;6/16/2025 12:00:00 AM
CENTRO MEDICO LIPPELT LTDA;CENTRO MEDICO LIPPELT LTDA;Nome;37470-000;140;JAYME SOTTO MAYOR;FEDERAL;SAO LOURENCO;MG;Varginha;ORTOPEDIA E TRAUMATOLOGIA;35;33325151;;;35;998844560;6/16/2025 12:00:00 AM
MULTI CLINICA LTDA;MULTI CLINICA;Nome;65930-000;12;AVENIDA JUCELINO KUBITSCHEIK;JARDIM AMERICA;ACAILANDIA;MA;Carajás;GASTROENTEROLOGIA  / OTORRINOLARINGOLOGIA  / REUMATOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / CLÍNICA MÉDICA / GINECOLOGIA E OBSTETRICIA  / PEDIATRIA;;;;;99;991170101;6/16/2025 12:00:00 AM
ESPACO OFTALMOLOGIA LTDA;ESPACO OFTALMOLOGIA;Nome;12246-021;51;RUA BENEDITO OSVALDO LECQUES;PARQUE RESIDENCIAL AQUARIUS;SAO JOSE DOS CAMPOS;SP;Taubaté;OFTALMOLOGIA;12;39399808;;;12;988469090;6/16/2025 12:00:00 AM
PUPA CLINICA MULTI LTDA;PUPA;Nome;45603-012;147;RUA QUERUBIM DE OLIVEIRA;PONTALZINHO;ITABUNA;BA;Itabuna;FONOAUDIOLOGIA  / PSICOLOGIA  / TERAPIA OCUPACIONAL / FISIOTERAPIA / NUTRICAO;73;36174051;;;;;6/16/2025 12:00:00 AM
CENTRO CLINICO DE FISIOTERAPIA LTDA ME;FISIOREABILITAR;Nome;57063-505;1;AVENIDA WALFRIDO GERÔNIMO DA ROCHA;SANTA AMÉLIA;MACEIO;AL;Região 01;NEUROLOGIA;82;34357424;82;33246803;82;996689339;6/16/2025 12:00:00 AM
XAVIER E MACHADO SERVICOS MEDICOS LTDA;FMA SERVICOS MEDICOS;Nome;77803-100;1337;PARANAIBA;SETOR CENTRAL;ARAGUAINA;TO;Região de Saúde Médio Norte;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / PATOLOGIA CLINICA / MEDICINA LABORATORIAL;;;;;63;992153332;6/16/2025 12:00:00 AM
MARCELLI F PEREIRA CORREA LIBANIO;REABILITA CENTER;Nome;37470-000;38;SENADOR CAMARA;FEDERAL;SAO LOURENCO;MG;Varginha;FISIOTERAPIA;;;;;35;988153181;6/15/2025 12:00:00 AM
HENRIQUE PEREIRA ABELIN;HENRIQUE PEREIRA ABELIN;Nome;97050-600;2350;RUA PINHEIRO MACHADO;CENTRO;SANTA MARIA;RS;CRS 04 Santa Maria;CARDIOLOGIA;55;32219915;;;55;991298609;6/14/2025 12:00:00 AM
SBRUZZI GANNAM SERVICOS MEDICOS LTDA;CLINICA DELUZ;Nome;37010-720;39;RUA EQUADOR;VILA PINTO;VARGINHA;MG;Varginha;RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;;;;;35;998405272;6/14/2025 12:00:00 AM
CLINICA VILLAS BOAS S A;CLINICA VILLAS BOAS S A;Nome;70390-901;716;SHLS QUADRA 716  CONJUNTO N BLOCO D;ASA SUL;BRASILIA;DF;Distrito Federal;CARDIOLOGIA  / ANESTESIOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM / MEDICINA NUCLEAR;61;21915050;;;;;6/13/2025 12:00:00 AM
BJ CONSULTORIO ODONTOLOGICO LTDA;SMART SMILE;Nome;56304-220;166;R CRISPIM DE AMORIM COELHO;CENTRO;PETROLINA;PE;Petrolina;CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS;;;;;87;999704677;6/13/2025 12:00:00 AM
MARCIA OLIVEIRA VOGADO;" 	MARCIA OLIVEIRA VOGADO";Nome;38037-530;702;AVENIDA GUARAPUAVA;CONJUNTO JOSÉ VALLIM DE MELO;UBERABA;MG;Uberaba;FISIOTERAPIA;;;;;34;996778555;6/13/2025 12:00:00 AM
MAX DAY HOSPITAL LTDA;MAX DAY HOSPITAL;Fantasia;51110-160;251;AVENIDA REPÚBLICA DO LÍBANO;PINA;RECIFE;PE;Recife;OTORRINOLARINGOLOGIA  / OFTALMOLOGIA  / GINECOLOGIA E OBSTETRICIA  / UROLOGIA  / CIRURGIA DA MÃO / CIRURGIA VASCULAR / DERMATOLOGIA   / CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS / CIRURGIA DE CABEÇA E PESCOÇO / ORTOPEDIA E TRAUMATOLOGIA  / GASTROENTEROLOGIA  / CIRURGIA PLÁSTICA / CIRURGIA DO APARELHO DIGESTIVO / CIRURGIA TORACICA  / ANGIOLOGIA / NEUROCIRURGIA  / CIRURGIA GERAL  / CIRURGIA CARDIOVASCULAR  / MASTOLOGIA  / CIRURGIA PEDIATRICA;81;20114050;;;;;6/13/2025 12:00:00 AM
REDE ACOLHE LTDA;REDE ACOLHE;Nome;57035-000;90;AVENIDA ENGENHEIRO MÁRIO DE GUSMÃO;PONTA VERDE;MACEIO;AL;Região 01;FONOAUDIOLOGIA  / FISIOTERAPIA / PSICOLOGIA  / TERAPIA OCUPACIONAL;;;;;79;991717322;6/13/2025 12:00:00 AM
MEDICAL TEAM SERVICOS MEDICOS LTDA;MEDICAL TEAM SERVICOS MEDICOS;Nome;04102-001;3558;RUA VERGUEIRO;VILA MARIANA;SAO PAULO;SP;Grande São Paulo;CIRURGIA PLÁSTICA;11;21576265;;;;;6/13/2025 12:00:00 AM
INSTITUTO DE ORTOPEDIA E TRAUMATOLOGIA DE RONDONIA;INSTITUTO DE ORTOPEDIA E TRAUMATOLOGIA DE RONDÔNIA;Nome;;;;;;;;REUMATOLOGIA  / ORTOPEDIA E TRAUMATOLOGIA;;;;;;;06/12/2025 00:00
VIANNA ESPECIALIDADES MEDICAS LTDA;VIANNA ESPECIALIDADES MEDICAS;Nome;70200-700;610;SGAS 610;ASA SUL;BRASILIA;DF;Distrito Federal;PEDIATRIA;61;30347280;;;;;06/12/2025 00:00
KARINA NAVES HENRIQUES;KARINA NAVES HENRIQUES;Nome;37200-415;201;AVENIDA DOUTORA DAMINA;BAIRRO DOS IPES;LAVRAS;MG;Varginha;TERAPIA OCUPACIONAL;;;;;35;991638501;06/12/2025 00:00
ORIGAMI TERAPIAS MULTIDISCIPLINARES;ORIGAMI TERAPIAS MULTIDISCIPLINARES LTDA;Nome;57045-560;29;RUA NATALICIO LINS MADEIROS;BARRO DURO;MACEIO;AL;Região 01;FISIOTERAPIA / TERAPIA OCUPACIONAL / FONOAUDIOLOGIA  / PSICOLOGIA;82;33776583;;;82;999827060;06/12/2025 00:00
DANIELA LUIZA SILVA;ESPACO FISIO;Nome;37900-124;430;TRES DE MAIO;CENTRO;PASSOS;MG;Passos;FISIOTERAPIA;35;35219144;;;;;06/12/2025 00:00
ANDRADE MIRA SERVICOS MEDICOS LTDA;ANDRADE MIRA SERVICOS MEDICOS LTDA;Nome;14400-500;1549;RUA GENERAL CARNEIRO;CENTRO;FRANCA;SP;Franca;ORTOPEDIA E TRAUMATOLOGIA  / GINECOLOGIA E OBSTETRICIA;;;;;16;981210396;06/12/2025 00:00
DO BEM SERVICOS MEDICOS;DO BEM SERVICOS MEDICOS;Nome;35500-900;545;ANTONIO OLIMPIO DE MORAIS;CENTRO;DIVINOPOLIS;MG;Divinópolis;CIRURGIA GERAL  / CIRURGIA DO APARELHO DIGESTIVO;;;;;37;998328383;06/12/2025 00:00
MIRELLE ARAUJO CASAGRANDE;MIRELLE ARAUJO CASAGRANDE;Nome;89802-112;141;FERNANDO MACHADO;CENTRO;CHAPECO;SC;Chapecó;PSICOLOGIA;;;;;51;999305111;06/12/2025 00:00
INOVE CENTRO DE CUIDADOS MEDICOS LTDA;INOVE CENTRO DE CUIDADOS MEDICOS;Nome;84061-000;1563;RUA NICOLAU KLUPPEL NETO;CONTORNO;PONTA GROSSA;PR;Ponta Grossa;PSICOLOGIA  / CLÍNICA MÉDICA / DERMATOLOGIA   / CIRURGIA VASCULAR / REUMATOLOGIA  / OFTALMOLOGIA;;;;;42;999655210;06/12/2025 00:00
AMANDA BISSACOTTI BONILLA LTDA;AMANDA BISSACOTTI BONILLA;Nome;79804-000;816;JOAO CANDIDO CAMARA;JARDIM AMERICA;DOURADOS;MS;NCT de Dourados;PSICOLOGIA;;;;;67;999992517;06/12/2025 00:00
MARGARETH DIAS SERAFIM;VIDA ATIVA;Nome;39600-000;997;RUA SALVADOR;VILA MAGNOLIA;ARACUAI;MG;Diamantina;NUTRICAO / FISIOTERAPIA;;;;;33;999386028;06/12/2025 00:00
EQUILIBRIO CENTRO DE TRATAMENTO DE FATORES DE RISCO S/C;;Nome;37010-560;191;RUA DONA COTA;VILA PINTO;VARGINHA;MG;Varginha;FISIOTERAPIA;35;32211881;;;;;06/12/2025 00:00
L C B ATIVIDADES MEDICAS EIRELI;L C B ATIVIDADES MEDICAS;Nome;37701-021;444; RUA PERNAMBUCO;CENTRO;POCOS DE CALDAS;MG;Pouso Alegre;MEDICINA DO TRABALHO;35;31141143;;;;;06/11/2025 00:00
TAMARA NUNES SALOMAO;TAMARA NUNES SALOMAO;Nome;39600-000;55;MANTIQUEIRA;CENTRO;ARACUAI;MG;Diamantina;PSICOLOGIA;;;;;33;988758669;06/11/2025 00:00
CARDIOVITTA - DIAGNOSTICOS EM CARDIOLOGIA LTDA;CARDIOCLINICA;Nome;88811-503;91;RUA ANTÔNIO DE LUCCA;PIO CORRÊA;CRICIUMA;SC;Criciúma;CIRURGIA VASCULAR / CIRURGIA CARDIOVASCULAR  / CARDIOLOGIA;48;34139888;;;;;06/11/2025 00:00
CLINICA KHRONOS SERVICOS MEDIDOS ESPECIALIZADOS;CLINICA KHRONOS;Nome;60135-270;500;VICENTE LINHARES;ALDEOTA;FORTALEZA;CE;Fortaleza;GERIATRIA;85;35338622;;;;;06/10/2025 00:00
SIG CLINICA PSICANALITICA LTDA;;Nome;37002-090;564;RUA SANTA CRUZ;CENTRO;VARGINHA;MG;Varginha;PSICOLOGIA;;;;;35;988711681;06/10/2025 00:00
ANA LIVIA TIAGO MURAD;ANA LIVIA TIAGO MURAD;Nome;36770-066;59;RUA JOAQUIM PEIXOTO RAMOS;CENTRO;CATAGUASES;MG;Leopoldina;GINECOLOGIA E OBSTETRICIA;32;34218528;;;32;999591889;06/10/2025 00:00
GENESIS MEDICINA E SEGURANCA DO TRABALHO PARNAIBA LTDA;GENESIS PARNAIBA;Nome;64202-020;813;AVENIDA SÃO SEBASTIÃO;NOSSA SENHORA DE FÁTIMA;PARNAIBA;PI;TD Planície Litorânea;MEDICINA DO TRABALHO;86;34217403;;;;;06/10/2025 00:00
SILVIA AMORIM AZEVEDO COSTA;SILVIA AMORIM AZEVEDO COSTA;Nome;74110-060;19;ALAMEDA DAS ROSAS 2175 QD R2B;SETOR OESTE;GOIANIA;GO;Central;UROLOGIA  / CLÍNICA MÉDICA;62;40087800;62;32199000;62;940087800;06/10/2025 00:00
MANOEL YASSUO MOCHIDA;LABORATORIO OSWALDO CRUZ;Nome;68464-000;0;ITAIPU;VILA PERMANENTE;TUCURUI;PA;Lago Tucuruí;PATOLOGIA CLINICA / MEDICINA LABORATORIAL;94;37871239;;;;;06/10/2025 00:00
ANNY KAROLAINY SILVA DE LIMA;;Nome;55750-000;1;ATENDIMENTO DOMICILIAR;ATENDIMENTO DOMICILIAR;SURUBIM;PE;Limoeiro;FISIOTERAPIA;;;;;81;995230833;06/09/2025 00:00
ALEXANDRE MERCADANTE REABILITACOES LTDA;ALEXANDRE MERCADANTE REABILITACOES LTDA;Nome;12308-020;55;RUA PRUDENTE DE MORAES;CENTRO;JACAREI;SP;Taubaté;FISIOTERAPIA;12;39612301;;;;;06/09/2025 00:00
CENTRO MULTIDISCIPLINAR DE TERAPIAS INFANTIS LTDA;CASA LUBE TERAPIAS;Nome;60135-222;931;RUA MARCONDES PEREIRA;DIONISIO TORRES;FORTALEZA;CE;Fortaleza;TERAPIA OCUPACIONAL / NUTRICAO / FISIOTERAPIA / FONOAUDIOLOGIA  / PSICOLOGIA;;;;;85;997010905;06/09/2025 00:00
HORMONCLIN CLINICA DE METABOLOGIA E ENDOCRINOLOGIA EIRELI;HORMONCLIN;Nome;68505-130;0;FOLHA 32 QUADRA 04 LOTE 21;NOVA MARABA;MARABA;PA;Itacaiúnas Tocantins;GINECOLOGIA E OBSTETRICIA  / DERMATOLOGIA   / CLÍNICA MÉDICA / OTORRINOLARINGOLOGIA  / RADIOLOGIA E DIAGNÓSTICO POR IMAGEM;;;;;94;992623132;06/09/2025 00:00
